country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,7,7,7,7,7,7,7,6,5,5,,5,6,6,6,6,6,6,5,5,5,4,4,4,5,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,7,7,7,7,7,7
Chad,7,7,7,6,6,6,6,6,6,6,,6,7,7,7,7,7,6,6,6,6,5,5,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Chile,2,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Colombia,2,2,2,3,3,3,3,3,3,3,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3
Comoros,,,,2,3,4,4,5,5,5,,4,5,6,6,6,6,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Congo, Dem. Rep.",6,6,6,7,6,6,6,6,6,6,,7,7,7,7,7,7,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo, Rep.",7,6,6,6,6,6,7,7,6,6,,6,6,6,6,6,6,6,6,4,3,3,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Costa Rica,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cote d'Ivoire,6,6,6,5,5,5,5,5,5,5,,5,5,5,5,5,6,5,4,4,4,5,5,5,5,4,4,5,5,4,6,5,6,6,6,5,5,5,6,6,5,4,4,4,4,4,4
Croatia,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cuba,7,7,7,7,6,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
Cyprus,3,3,4,4,4,4,4,3,3,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,,,,,,4,4,4,4,6,,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dominica,,,,,,,3,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Republic,2,2,2,2,3,2,2,3,3,2,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Ecuador,3,4,4,4,4,4,4,2,2,2,,2,2,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
Egypt,6,6,4,4,4,4,5,5,5,5,,5,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
El Salvador,3,3,3,3,3,4,5,4,5,5,,5,5,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Equatorial Guinea,6,6,6,7,7,7,7,6,6,6,,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
Eritrea,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Estonia,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,6,6,5,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
Fiji,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3
Finland,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,2,2,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Gabon,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
Gambia,2,2,2,2,2,2,2,2,3,4,,4,4,4,4,3,3,2,2,2,2,2,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,5,5
Georgia,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3
Germany,4,4,4,4,4,4.5,4,4,4.5,4.5,,4.5,4,4,4,4,4,3.5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghana,6,6,5,5,5,5,4,4,3,5,,5,6,6,6,6,6,5,5,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Greece,6,5,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Grenada,,,4,4,4,3,3,5,5,5,,6,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guatemala,3,2,3,3,3,4,4,5,6,6,,6,6,4,3,3,3,3,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guinea,7,7,7,7,7,7,7,7,7,7,,7,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4
Guinea-Bissau,,,6,6,6,6,6,6,6,6,,6,6,6,7,7,7,6,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4
Guyana,2,2,7,3,3,3,4,4,4,4,,5,5,5,5,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Haiti,6,6,6,6,6,6,6,6,6,6,,6,6,6,4,5,5,5,4,7,7,7,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
Honduras,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Hungary,6,6,6,6,6,5,5,5,5,5,,5,5,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3
Iceland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,3,3,3,5,5,2,2,2,3,3,,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Indonesia,5,5,5,5,5,5,5,5,5,5,,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Iran,6,6,6,6,6,5,5,5,5,6,,6,6,6,6,6,6,5,5,5,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iraq,7,7,7,7,7,7,6,7,7,7,,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Ireland,2,2,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,3,3,3,3,3,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Italy,2,2,2,2,1,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
Jamaica,2,2,2,2,3,3,3,3,3,3,,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Japan,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Jordan,6,6,6,6,6,6,6,6,6,6,,6,5,5,5,5,5,5,5,4,3,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Kazakhstan,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kenya,4,4,4,5,5,5,4,4,4,5,,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4
Kiribati,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kuwait,4,3,3,3,5,4,4,4,4,4,,4,4,4,5,5,5,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,4,2,3,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4
Lao,5,5,5,6,7,7,7,7,7,7,,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Latvia,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Lebanon,2,2,2,4,4,4,4,4,4,4,,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4
Lesotho,4,3,4,4,4,4,5,5,5,5,,5,5,5,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Liberia,6,5,3,4,4,4,5,5,6,6,,5,5,5,5,5,5,5,7,6,6,6,6,6,6,5,5,5,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Libya,6,7,7,6,6,6,6,6,7,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,6,6,6,6
Liechtenstein,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lithuania,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madagascar,3,4,4,5,5,5,6,6,6,6,,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Malawi,6,6,6,6,6,6,7,7,7,7,,7,7,7,7,7,7,6,6,6,7,5,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3
Malaysia,3,3,3,4,4,4,4,4,4,4,,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Maldives,2,2,2,4,4,4,5,5,5,5,,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5
Mali,6,6,6,7,7,7,6,6,6,6,,6,6,6,6,6,6,6,5,4,3,3,4,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,5,4,4,4,4,4,4
Malta,2,1,1,1,2,2,2,3,3,3,,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marshall Islands,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Mauritius,2,2,2,2,2,2,4,4,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,3,3,3,3,4,3,4,4,4,4,,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,,,,,,,,,,,,,,,,,,,,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4
Monaco,2,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,4,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,3,3,3,3
Morocco,4,5,5,5,5,4,4,4,4,5,,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Mozambique,,,,6,7,7,7,7,7,7,,6,7,7,7,7,7,7,6,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
Myanmar,5,5,5,6,6,6,6,6,6,6,,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,5,5,5,5
Namibia,5,5,5,,,,,,,,,,,,,,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nauru,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Nepal,5,5,5,5,5,5,5,4,4,4,,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Netherlands,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Zealand,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,3,4,4,4,5,5,5,5,5,5,,5,5,5,6,5,4,5,3,3,3,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,5
Niger,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,4,4,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Nigeria,4,4,4,5,4,4,3,3,3,3,,3,5,5,5,5,5,5,5,4,4,5,6,7,6,6,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
North Korea,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
North Macedonia,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Norway,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pakistan,5,5,5,5,5,4,5,5,5,5,,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Palau,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,6,6,6,6,6,5,5,5,4,5,,4,3,3,3,5,5,6,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Papua New Guinea,,,,2,2,2,2,2,2,2,,2,2,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Paraguay,6,5,5,5,6,6,5,5,5,5,,5,5,5,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Peru,5,5,6,4,4,4,4,4,3,3,,3,3,3,3,3,3,4,4,5,5,5,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Philippines,6,5,5,5,5,5,5,5,5,4,,5,4,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Poland,6,6,6,6,6,5,5,5,4,5,,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Portugal,6,6,3,3,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qatar,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Romania,6,6,6,6,6,6,6,6,6,6,,6,7,7,7,7,7,7,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Russia,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6
Rwanda,6,6,5,5,5,5,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6
Samoa,2,2,2,2,2,2,2,2,3,3,,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
San Marino,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
